title,location,price,area
                        House Donkerslootstraat                            ,            3074 WE Rotterdam (Hillesluis)        ,"                €1,995 per month            ",143 m²
                        Apartment Paradijslaan 140 D                            ,            3034 SV Rotterdam (Nieuw Crooswijk)        ,"                €2,000 per month            ",174 m²
                        Apartment 's-Gravendijkwal 140 B                            ,            3015 CC Rotterdam (Oude Westen)        ,"                €1,250 per month            ",62 m²
                        Apartment Pannekoekstraat                            ,            3011 LH Rotterdam (Stadsdriehoek)        ,"                €1,595 per month            ",81 m²
                        Apartment Chabotlaan 271                            ,            3055 AH Rotterdam (Molenlaankwartier)        ,"                €1,375 per month            ",82 m²
                        Apartment 's-Gravenweg                            ,            3065 SC Rotterdam ('s-Gravenland)        ,"                €1,095 per month            ",54 m²
                        Apartment Schonebergerweg                            ,            3023 ZM Rotterdam (Nieuwe Westen)        ,"                €2,200 per month            ",70 m²
                        Apartment Adriaan Dortsmanstraat 153                            ,            3067 NC Rotterdam (Het Lage Land)        ,"                €1,475 per month            ",88 m²
                        Apartment Paetsstraat 13 C                            ,            3039 XM Rotterdam (Blijdorp)        ,"                €1,750 per month            ",109 m²
                        Apartment Kortenaerstraat                            ,            3012 VB Rotterdam (Cool)        ,"                €1,700 per month            ",88 m²
                        Apartment Hendrick Sorchstraat                            ,            3021 VD Rotterdam (Middelland)        ,                €775 per month            ,23 m²
                        Apartment Bergse Dorpsstraat 101 A-02                            ,            3054 GC Rotterdam (Hillegersberg Noord)        ,"                €1,550 per month            ",94 m²
                        Apartment Bulgersteyn                            ,            3011 AB Rotterdam (Stadsdriehoek)        ,"                €2,075 per month            ",98 m²
                        Apartment Portlandstraat                            ,            3082 XE Rotterdam (Oud Charlois)        ,                €800 per month            ,55 m²
                        Apartment Oudedijk 211 C                            ,            3061 AE Rotterdam (Kralingen West)        ,"                €2,195 per month            ",120 m²
                        Apartment Gashouderstraat                            ,            3061 EH Rotterdam (Kralingen West)        ,"                €1,000 per month            ",57 m²
                        Apartment Grote Visserijstraat                            ,            3026 CN Rotterdam (Tussendijken)        ,"                €1,190 per month            ",75 m²
                        Apartment Schammenkamp                            ,            3085 GR Rotterdam (Zuidwijk)        ,                €945 per month            ,71 m²
                        Apartment Maashavenweg                            ,            3072 AZ Rotterdam (Katendrecht)        ,"                €2,495 per month            ",103 m²
                        Apartment Wijnbrugstraat                            ,            3011 XW Rotterdam (Stadsdriehoek)        ,"                €2,495 per month            ",117 m²
                        Apartment Orchideestraat                            ,            3051 NL Rotterdam (Hillegersberg Zuid)        ,"                €2,500 per month            ",110 m²
                        Apartment Wijnbrugstraat                            ,            3011 XW Rotterdam (Stadsdriehoek)        ,"                €1,775 per month            ",73 m²
                        Apartment Wilhelminakade                            ,            3072 AP Rotterdam (Kop van Zuid)        ,"                €1,650 per month            ",62 m²
                        Apartment Katendrechtse Lagedijk                            ,            3081 ZS Rotterdam (Tarwewijk)        ,"                €1,100 per month            ",100 m²
                        House Spoorweghaven                            ,            3071 ZG Rotterdam (Kop van Zuid - Entrepot)        ,"                €5,000 per month            ",240 m²
                        Apartment Zoutziedersstraat                            ,            3026 EH Rotterdam (Tussendijken)        ,"                €1,500 per month            ",75 m²
                        Apartment Lijsterlaan 71                            ,            3055 CE Rotterdam (Molenlaankwartier)        ,                €849 per month            ,71 m²
                        Apartment Weena 443                            ,            3013 AL Rotterdam (Cs Kwartier)        ,"                €1,955 per month            ",80 m²
                        Apartment Bergstraat                            ,            3035 TD Rotterdam (Oude Noorden)        ,"                €1,300 per month            ",67 m²
                        Apartment Bergstraat                            ,            3035 TD Rotterdam (Oude Noorden)        ,"                €1,750 per month            ",107 m²
