office_name,category,address,general_loc,telephone_num,website
Maleys Barristers & Solicitors,Lawyers & Solicitor,"17 Cavenagh St, Darwin, NT, 0800|482m","Darwin, NT 0800",(08) 8981 2266,http://www.maleyslegal.com
Maurice Blackburn Lawyers,Lawyers & Solicitor,"Level 1 60 Smith St, Darwin, NT, 0800|260m","Darwin City, NT 0800",1800 703 861,https://www.mauriceblackburn.com.au
De Silva Hebron,Lawyers & Solicitor,"47 Knuckey St, Darwin, NT, 0800|346m","Darwin, NT 0800",(08) 8924 4944,http://www.desilva-hebron.com
Darwin Family Law,Lawyers & Solicitor,"Level 3/ 9 Cavenagh St, Darwin, NT, 0800|537m","Darwin City, NT 0800",(08) 8946 1666,http://www.darwinfamilylaw.com.au
Murphy & Associates Barristers and Solicitors,Lawyers & Solicitor,"25 Flockhart Dr, Marlow Lagoon, NT, 0830|14.04km","Marlow Lagoon, NT 0830",(08) 8932 2062,https://www.facebook.com/Murphy-Associates-Barristers-and-Solicitors-147721702071749
Story & Associates,Lawyers & Solicitor,"3/ 41 Georgina Cres, Yarrawonga, NT, 0830|16.15km","Yarrawonga, NT 0830",(08) 8931 1508,http://www.palmerstonlawyers.com.au
Roussos Legal Advisory,Lawyers & Solicitor,"Suite 5 9 Swan Crst, Winnellie, NT, 0820|3.85km","Winnellie, NT 0820",(08) 8981 8783,http://www.roussoslegaladvisory.com
Bowden McCormack,Lawyers & Solicitor,"Ste 4/ Lvl 1/ Northgate Plaza 101 Mitchell St, Darwin, NT, 0800|511m","Darwin, NT 0800",(08) 7922 5014,http://www.bowden-mccormack.com.au
Tindall Gask Bentley,Lawyers & Solicitor,"1 21 Cavenagh St, Darwin, NT, 0800|446m","Darwin City, NT 0800",(08) 8212 1077,http://www.tgb.com.au
Minter Ellison,Lawyers & Solicitor,"Level 1/ 60 Smith St, Darwin, NT, 0800|254m","Darwin, NT 0800",(08) 8901 5900,http://www.minterellison.com.au
Finlaysons Lawyers,Lawyers & Solicitor,"Level 3 9 Cavenagh St, Darwin, NT, 0800|537m","Darwin, NT 0800",(08) 8235 7418,http://www.finlaysons.com.au
MSP Legal,Lawyers & Solicitor,"6/ 32 Marina Blv, Cullen Bay, NT, 0820|2.03km","Larrakeyah, NT 0820",(08) 8981 4477,http://www.msplegal.com.au
Bowen Lawyers,Lawyers & Solicitor,"Suite 10/4 Manton St, Darwin, NT, 0800|312m","Darwin, NT 0800",(08) 8941 8848,http://www.bowenlawyers.com.au
Bowden McCormack Lawyers + Advisers,Lawyers & Solicitor,"Suite 4, Level 1, Northgate Plaza 101 Mitchell St, Darwin, NT, 0800|511m","Darwin, NT 0800",(08) 8941 6355,http://www.bowden-mccormack.com.au
Jude Lawyers,Lawyers & Solicitor,"Ground Floor, 9-11 Cavenagh Street, Darwin, Darwin, NT, 0800|537m","Darwin, NT 0800",(08) 8941 8229,http://www.jude-lawyers.com
Ward Keller Lawyers,Lawyers & Solicitor,"Level 7 NT House 22 Mitchell St, Darwin, NT, 0800|649m","Darwin, NT 0800",(08) 8946 2999,http://www.wardkeller.com.au
Ward Keller,Lawyers & Solicitor,"Level 2 Northern Territory House 44 Bath St, Alice Springs, NT, 0870|1290.27km","Alice Springs, NT 0870",(08) 8952 4200,http://www.wardkeller.com.au
Libertas Legal & Consulting Services,Lawyers & Solicitor,"Lot 7837 Lillecrapp Rd, Alice Springs, NT, 0870|1294.85km","Ilparpa, NT 0873",(08) 8953 2063,0
Hunt & Hunt Lawyers,Lawyers & Solicitor,"Level 2 Carpentaria House 13 Cavenagh St, Darwin, NT, 0800|513m","Darwin, NT 0800",(08) 8924 2600,http://www.hunthunt.com.au
McQueens Solicitors,Lawyers & Solicitor,"Paspalis Conference and Business Centre, Lvl 1/ 48-50 Smith St Mall, Darwin, NT, 0800|254m","Darwin, NT 0800",(08) 8981 9396,0
NT Law,Lawyers & Solicitor,0,"Darwin, NT 0800",(08) 8981 0009,http://www.ntlaw.com.au
Torney Legal,Lawyers & Solicitor,"Suite 4C Goyder Centre 25 Chung Wah Tce, Palmerston City, NT, 0830|15.66km","Palmerston, NT 0830",(08) 8931 0311,http://www.torneylegal.com.au
"Parish McCulloch, Barristers & Solicitors",Lawyers & Solicitor,"Level 1 48-50 Smith St, Darwin, NT, 0800|402m","Darwin, NT 0800",1300 201 203,http://www.parishmcculloch.com.au
Matthews Legal,Lawyers & Solicitor,"32/ 24 Cavenagh St, Darwin, NT, 0800|438m","Darwin, NT 0800",(08) 8942 2461,http://www.matthewslegal.com.au
Infinity Legal,Lawyers & Solicitor,"Suite 21, Ground Floor 21 Cavenagh St, Darwin, NT, 0800|442m","Darwin, NT 0800",(08) 8981 9648,http://www.infinityfamilylawyers.com.au
Darwin Lawyers,Lawyers & Solicitor,"30 21 Cavenagh St, Darwin, NT, 0800|446m","Darwin, NT 0800",(08) 8941 8995,http://www.robwel.com.au
Tiwi Land Council,Lawyers & Solicitor,0,"Winnellie, NT 0820",(08) 8997 0797,https://www.transparency.gov.au/annual-reports/tiwi-land-council/reporting-year/2018-2019-13
Northern Territory Rugby Union Inc.,Lawyers & Solicitor,"71 Abala Rd, Marrara, NT, 0812|8.49km","Marrara, NT 0812",(08) 8945 1444,http://www.ntrugby.com.au
North Australia Aboriginal Family Violence Legal Service,Lawyers & Solicitor,"32 Dripstone Rd, Casuarina, NT, 0810|10.21km","Casuarina, NT 0810",(08) 8923 8200,http://www.naafvls.com.au
Maleys Barristers & Solicitors,Lawyers & Solicitor,"Stuart Hwy, Coolalinga, NT, 0835|23.02km","Coolalinga, NT 0839",(08) 8983 3988,http://www.maleyslegal.com
Povey Stirk Lawyers and Notaries,Lawyers & Solicitor,"1st Floor 8 Gregory Tce, Alice Springs, NT, 0871|1290.31km","Alice Springs, NT 0870",(08) 8952 6400,http://www.poveystirk.com.au
Drug & Alcohol Services Association Alice Springs Incorporated,Lawyers & Solicitor,"25 South Tce, The Gap, NT, 0870|1292.04km","The Gap, NT 0870",(08) 8953 6070,http://www.dasa.org.au
Ron Lawford Solicitor,Lawyers & Solicitor,"28 Sanders St, Jingili, NT, 0810|8.78km","Jingili, NT 0810",(08) 8985 3875,0
Cozens Johansen Lawyers,Lawyers & Solicitor,"Level 1/ 48-50 Smith St, Darwin, NT, 0800","Darwin, NT 0800",(08) 8911 1280,http://www.cozensjohansen.com.au
